#;Oggetto;# Fixed on ;# Fixed also on ;# Major release
39963;Malfunzionamento in fase di cambio password in TWILL utente Silvia Caputo;"";"";""
39962;DEMAND IT 1715960 - Predisposizione di un'area FTP per ricezione di flussi da compagnia GamaLife verso sistema TWILL;"";"";""
39961;"Modifica Function ""SKFun_AutorizzaInvioOrdine""";"";"";""
39960;Report Ai - Fine tuning Nuovo Rendiconto (W1);"";"";6.93.0
39959;Modifica testo mail (#39901);6.89.2;"";6.93.0
39957;DEMAND 1714956 -  MODIFICA ADAPTION;"";"";""
39955;Report Ai - Fine tuning Nuovo Rendiconto (W1);"";"";6.91.0
39954;BATCH STAMPA FASCICOLO CONSIGLIO E MODULO ORDINE IN ERRORE;6.89.2;6.90.1;6.91.0
39953;BLOCCO FASE GO-LIVE;"";"";""
39952;Sezione Esecutore non autocompilata in contraenza giuridica e luogo/data su adeguata verifica;6.88.3;"";""
39951;Documento unico di fascicoli precontrattuali/kid/dip polizze;"";"";""
39950;Documento nuovo unico per gli allegati polizze (3 + 4);"";"";""
39949;Documenti prodotti da Tech-La --> quali su ViaCart e su che classi documentali vanno a finire;"";"";""
39948;ERRORE ACCESSO LISTA CLIENTI - Su tutti i clienti e FA;"";"";""
39947;DEMAND 1712356 - Distruzione cedola su fondo;"";"";""
39946;DEMAND 1712006 - Implentazione flusso API ANAGRAFICA TITOLI;"";"";""
39945;accesso twill clienti;"";"";""
39944;Gestione ragione sociale ditta Individuale per Polizza in anagrafica Real Time;"";"";""
39943;Ottimizzazione Performance;"";"";6.89.0
39942;URGENTE - ERRORE CALCOLO PERFORMANCE;"";"";""
39941;Gestione apertura contratto in applicazione FA/GOV (GT-like) - WAVE 2;"";"";""
39940;Accertamento preventivo su eventuali impatti nella rendicontazione patrimoniale complessiva di un cliente (report POSIZIONE CONSULENZA) a seguito di un iter operativo nuovo da seguire nella concessione di un credito Lombard.;"";"";""
39939;NDG per rendiconti periodici Cambiano;"";"";""
39938;Errore carico TASVAL_SA 06/06/2025;"";"";""
39937;% marco asset class non corretta;"";"";""
39936;AGGIORNA_TGPDEX con aggiunta WITH (NOLOCK);6.84.3;"";6.89.0
39934;ERRORE ACCESSO POSIZIONE;"";"";""
39932;Revisione logica estrazione contratti per batch rendiconti periodici;"";"";6.88.0
39931;Blocco operatività da Delegato;"";"";""
39930;Errore su Costi-Benefici in CE x GP + modulo d'ordine;"";"";""
39929;Revisione Polizze Italiana - Fix Layout e flusso post UAT;6.88.2;"";6.89.0
39928;Costi-Benefici errore su costi ISIN in entrata;6.84.2;"";6.88.0
39927;GHOST - utenza dispositiva da inviare a Cabel;"";"";""
39926;Altra anomalia;"";"";""
39925;INFO RACCOLTA DIRETTA;"";"";""
39924;ANOMALIA CALCOLO PERFORMANCE;"";"";""
39923;R: Controvalore BTP Italia Errato;"";"";""
39922;FEA non funzionante;"";"";""
39921;IMPOSTAZIONI PARAMETRI ORDINE PER UN COLLOCAMENTO BTP Italia;"";"";""
39920;Revisione Documenti XFORM Polizze Italiana - Fix Layout post UAT;6.86.4;"";6.88.0
39919;Errore invio messaggi mail dopo rilascio 6.84.0 (v 2.0 servizi Cabel);6.84.1;"";6.88.0
39918;ERRORE MESSAGGISTICA DOPO RILASCIO VERSIONE 6.84;"";"";""
39917;Anomalia modulo fea;"";"";""
39916;Revisioni CR UAT Polizze MultiAsset/2GS;6.86.3;"";6.88.0
39915; DEMAND IT 1701802 ATTIVAZIONE FEA ELEVA CAPITAL;"";"";""
39914;Programma POULI;"";"";6.88.0
39913;Ordinante minore;"";"";""
39912;Delgati senza Mifid che riescono ad operare ;"";"";""
39911;IMPOSTAZIONI MONITORAGGIO - VERIFICA;"";"";""
39910;abilitazione Twill governance;"";"";""
39909;"Raccomandazione per rimborso polizza rimane ""Da completare""";6.83.1;6.86.2;""
39908;Log4j - upgrade;"";"";""
39907;NDG con zeri indesiderati su anagrafica assicurati ;6.86.2;"";""
39906;Acquisizione Titolare Effettivo;6.86.2;"";6.88.0
39905;Verifica sottoscrizione con FEA;6.82.3;6.84.1;6.88.0
39904;Aggiornamento MODULISTICA ITALIANA ASSICURAZIONI;"";"";6.93.0
39903;DEMAND IT 1636607 - Riprofilatura opportunistica a livello di singolo strumento e non di portafoglio come adeguatezza ;"";"";""
39902;1636578 | DEMAND IT  - DIR WEALTH MANAGEMENT |  Automazione e integrazione schede di adesione;"";"";""
39901;DEMAND 1661740 - DIR ORGANIZZAZIONE Modifica testo mail inviata al cliente per le sottoscrizioni in FEA da TWILL;"";"";6.88.0
39900;1636557- DEMAND IT Dir Wealth Management- Informazioni ESG su scheda contratto e raccomandazione-Richiesta (3);"";"";""
39899;Demand IT 1558396 Estensione del blocco alle vendite in Target Market Negativo per Gestioni Patrimoniali FPB e ETP, con relativa modifica del disclaimer attualmente in vigore;"";"";6.90.0
39898;1648025 - RISK -  Risk Monitor Ptf Trading;"";"";""
39897;DEMAND MARKETING & PRODOTTI - Nuovo modello di pricing conto correnti;"";"";""
39896;1684190 | DEMAND IT  - DIR COMMERCIALE FPB |  ATTIVAZIONE FEA JANUS;"";"";""
39895;DEMAND 1696039 - DIR INVESTIMENTI-  Evoluzione controlli adeguatezza sostenibilità - ESG;"";"";""
39894;Mancata produzione partita prenotata su Azione Bonus;"";"";""
39893;Sezione Dettaglio obbligazioni in errore su cliente 000569648;6.82.3;6.84.1;6.88.0
39892;File Aggiorna_strutturarete.sql - gestione chiave doppia;"";"";6.88.0
39891;Ottimizzazione performance;"";"";6.89.0
39890;Conto affidato - mancata visualizzazione saldo disponibile;"";"";""
39889;Forzare la ripartizione sulle gestioni separate polizza 2GS;6.86.1;"";6.88.0
39888;Gestione 2GS fix sottostanti e documenti;6.86.1;"";6.88.0
39887;Integrazione modulo d'ordine - Raccolta Istruzioni Specifiche;6.84.1;6.84.1;6.88.0
39886;Amministrato - attivazione controlli ESG;"";"";""
39885;Modulo ADV Italiana errato in caso di riscatto totale ;"";"";""
39884;ERRORE PUOLI;"";"";""
39883;ERRORE SU ESTRAZIONE DATI ;"";"";""
39882;Utilizzo nuovo flusso TTIFIL (rif #37392);"";"";""
39859;"Correttiva su funzione ""Confronta fondi target""";"";"";""
39855;Verifica dati consulenza evo per rendiconto;"";"";""
39854;Attività di upgrade infrastrutturale;"";"";""
39839;Adeguata verifica mostra numero contratto e non codice esterno polizza di Italiana;6.83.1;"";6.85.0
39826;Report Ai - Fine tuning Nuovo Rendiconto (W1);"";"";6.90.0
39815;Anagrafica strumenti finanziari in giornata (ripristino funzionalità);"";"";6.84.0
39810;1661740 - Modifica testo mail inviata al cliente;"";"";6.88.0
39809;Revisione monitoragggio . rappresentazione aggregata delle anomalie;"";"";6.96.0
39785;Riprofilatura opportunistica a livello di singolo SF e non di PTF;"";"";""
39784;Attivazione FEA Fondi Janus;"";"";""
39782;Informazioni ESG su scheda contratto e raccomandazione-Richiesta;"";"";""
39769;Segnalazione post test per costi fondo (rif. #36342);6.82.2;"";6.83.0
39768;Gestione Flusso Polizze per Persone Giuridiche;"";"";""
39761;ITALIANA FLEX - gestione assicurando diverso da Contraente;6.82.1;"";6.83.0
39760;New Ghost;"";"";6.89.0
39755;modifica calcoli consulenza evoluta;6.82.1;"";6.83.0
39754;Rapporti e saldi in tempo reale;"";"";""
39753;Cancellazione raccomandazione non consolidata;"";"";6.97.0
39752;Gestione apertura contratto in applicazione FA/GOV (GT-like) - WAVE 1;"";"";NEXT (per FPB da 6.90.0)
39751;Funzione confronta fondi target;"";"";6.88.0
39749;Gestione importo operatività polizza con riponderazione sui limiti sottastanti;"";"";""
39747;Applicazioni Banca - mancata assegnazione patrimonio per ptf con saldo a 0 (rif. #39210);"";"";1.8.0
39732;ERRORE PRODUZIONE POSIZIONE CONSULENZA;6.82.1;"";6.83.0
39723;Applicazioni Banca - % con tre decimali in lista ricerca contratti (rif. #39210);1.7.1;"";1.8.0
39720;Rimozione da cassetti sottoscrivibili linee GP non più collocabili;"";"";""
39717;Errata produzione Rimborso Parziale;"";"";6.83.0
39716;Configurazione Namirial Prod;"";"";6.83.0
39705;Trasferimento documenti di Adeguata Veifica Italiana;"";"";6.86.0
39704;Controvalore errato su sottostanti polizza;"";"";6.83.0
39703;"Visualizzazione ""Saldi Conti Correnti e Depositi Titoli"" per operatore DCI";"";"";6.82.0
39700;Report Ai complessivo della posizione contratto;"";"";6.84.0
39698;Rimozione grafico andamentale Reportistica DCI;"";"";6.82.0
39680;Applicazioni Banca - Revisioni / Tuning (rif. #39210);6.80.1 (Tech-la) e 1.6.2 (PBCT);"";6.82.0 (Tech-la) e 1.7.0 (PBCT)
39677;SISTR - nuovi problemi di associazione struttura;"";"";""
39671;Gestione log garante 2;"";"";""
39657;Indisponibilità servizi Cabel;"";"";""
39655;Campo note ;"";"";""
39654;Report Ai complessivo della posizione contratto;"";"";6.82.0
39650;Ripristino utilizzo per FPB versione 1.0 servizi Cabel (RIF #35633);"";"";6.80.0
39644;Applicazioni Banca - Documento Contratto - tuning (rif. #39210);1.6.1;"";1.7.0
39631;FTP Flussi Italiana;6.77.2;"";6.81.0
39615;verifica limite di concentrazione ELITF;"";"";""
39610;(rif #39210) - Applicazioni Banca - ambiente Test - segnalazione importo canone in deroga non numerico;1.6.1;"";1.7.0
39608;Report Ai complessivo della posizione contratto;"";"";6.80.0
39580;Acquisizione Codice Italiana;6.77.1;"";6.79.0
39571;CAMPI NON COMPILATI IN SOTTOSCRIZIONE ITALIANA;6.76.2;"";6.82.0
39570;ITALIANA campo beneficiari caso morte;6.82.1;"";6.83.0
39569;"Errore campo ""limite singola transazione""  modulo Servizio MITO(Multichannel Internet Trading Online) Attivazione - Modifica - Conferimento Delega Virtuale - Gestione Documentazione On Line";6.82.1;"";6.83.0
39567;Report Ai complessivo della posizione contratto;"";"";6.79.0
39553;Carico oggetti contratti e ptf anche con saldo a ZERO;6.76.1;"";6.77.0
39550;Gestione flusso Italiana e configurazione multiramo;"";"";6.77.0
39531;W2 - Report Ai complessivo della posizione contratto;"";"";""
39525;Report Ai complessivo della posizione contratto;"";"";6.78.0
39513;Eliminare allegato da contratto GT;"";"";6.91.0 (Tech-la) e 1.9.0 (Applicazioni Banca)
39498;Campo professione non compilabile in un consiglio;6.74.1;"";6.76.0
39492;Report Ai complessivo della posizione contratto;"";"";6.76.0
39483;ROPRS - Adattamento per gestione righe vuote;"";"";""
39454;Revisione Documenti XFORM Polizze Italiana - Riscatto;"";"";6.86.0
39453;Revisione Documenti XFORM Polizze Italiana - Versamento aggiuntivo;"";"";6.86.0
39441;ERRORE GENERALE CONSIGLIO PRODUZIONE;"";"";""
39435;Promozione Cash Back;"";"";6.74.0
39432;IMPORTANTE PRIVACY - posizioni colleghi da mascherare in TWILL ;"";"";""
39426;Revisione Documenti XFORM Polizze Italiana - Prima Sottoscrizione;"";"";6.86.0
39422;Disclosure_modifica modulo d'ordine polizze e illiquidi;"";"";""
39421;Modifica ricezione eseguiti (ROTEM) e supporto;"";"";""
39420;Supporti a Installazione Finint;"";"";""
39419;Reportistica DCI;"";"";""
39416;Recupero dati per Calcolo performance;"";"";""
39415;PROD | Gestione Polizze per Persone Giuridiche (ex Campo P. Iva non compilabile);"";"";6.83.0
39414;CAMBIANO varie;"";"";""
39413;Supporti a Installazioni Cambiano;"";"";""
39412;Supporti a Conduzione Progetto;"";"";""
39395; Tuning sul batch per la produzione del flusso per Italiana;6.72.2;"";6.74.0
39388;Report Ai complessivo della posizione contratto;"";"";6.75.0
39387;Report Ai complessivo della posizione contratto;"";"";6.73.0
39381;Adeguamenti report DCI - v.2 - Change request;6.72.2;"";6.73.0
39331;Attivazione FEA ESALOGO E OPEN Anima;"";"";""
39326;Codici ATECO non censiti in TGVUNQ;"";"";""
39325;Gestione ragione sociale ditta Individuale per Polizza;"";"";6.83.0
39323;CCFRU - Rendiconti annuali;6.69.6;6.73.1;6.74.0
39317;comunicazione da Cabel;"";"";""
39263;ERRORE OPERAZIONE SWITCH GP;"";"";""
39238;Errore recupero lista clienti ;"";"";""
39210;Revisione iter operativo apertura contratti DCI;"";"";6.78.0
39206;"modifica autorizzazione ruolo ""operatore DCI""";"";"";""
39198;impossibilità inserimento pagamento estero;"";"";""
39196;sottoscrizione pinnacle in FEA;"";"";""
39182;Revisioni reportistica DCI;6.69.4;"";6.72.0
39177;Iniziativa Cliente Fondi in Diretta;"";"";6.74.0
39153;Attivazione ambiente per Banca Reale;"";"";""
39151;PROD | Mancata archiviazione su VIACART;"";"";""
39130;Gestione polizze DOPPIA GS;"";"";6.77.0
39127;IMPOSTAZIONI PARAMETRI ORDINE PER UN COLLOCAMENTO BTP (rif #33377);"";"";""
39121;Log garante 2;"";"";""
39106;RFI 1636600 - Gestione in anagrafica dei titoli riservati a clienti professionali;"";"";""
39104;Assistenza produzione fascicolo di contratto periodici 31.12;"";"";""
39100;Verifica controllo TM2;"";"";""
39099;Assistenza configurazione doc.ti Fondi;"";"";""
39098;Ottimizzazione fasi batch per anticipare la pubblicazione dati;"";"";""
39094;PROD | Visualizzazione Conto estinto;"";"";""
39086;Ottimizzazione quantità calcolo oggetti di contratto e portafoglio;6.71.1;"";6.72.0
39082;ESG - preferenza e obiettivo cointestazione non valorizzati anche a fronte di cointestatari che hanno la nuova scheda;6.76.2;6.82.1;6.83.0
39077;Riscatto totale polizza - prodotto modulo riscatto parziale;6.72.2;"";6.73.0
39062;Ottimizzazione POULI aggiornamento TPOCNE (segue da #38909);6.69.5;"";6.72.0
39058;Progetto mercury - valutazioni progettuali;"";"";""
39055;POULI in errore in aggiornamento TPOCNE;6.69.5;"";6.72.0
39042;Verifica collegamenti non presenti TCLCOL;"";"";""
39036;TGPDEX carico in errore;6.70.2 e 6.71.1;"";6.72.0
39035;"Carico in errore terminano in stato ""valido""";"";"";""
39034;Assistenza mancato GoLive 05.02.2025;"";"";""
39029;Modifica IDSIGN;"";"";""
39022;Trasferimento polizza da dossier mono a dossier coi;"";"";""
38993;Trasferimento polizza- Errore Anagrafica contraente TPOCNA;"";"";""
38989;NOBIS non valorizzate ma presente in AS400;"";"";""
38988;Verifica ndg 002172534 : non compaiono delegati in stampa;"";"";""
38962;PROD | Verifica su delegato non visibile per NDG 002172534 ;"";"";""
38941;Integrazione automatica flusso EMT con Cabel (rif #38940);"";"";6.89.0
38940;Carico estemporaneo flusso EMT;"";"";""
38933;Segnalazione ordini con stato anomalo in ambito Fondi;"";"";""
38912;Aggiornamento logo Twill --> Tech-la;"";"";6.72.0
38909;RECORD TPOCNA NON REGISTRATI ALL'ATTO DI UNA PRIMA SOTTOSCRIZIONE AZIONE BONUS;6.67.3 e 6.69.3;"";6.71.0
38907;Modifica sconto commissionale di default;"";"";""
38904;Adeguamenti report DCI - v.2 - GRAFICO e calcolo media ponderata indici (rif #38868);6.69.3;"";6.72.0
38903;GamaLife/Finint - Flussi di interscambio;"";"";""
38901;Polizze CNP Vita Assicura - Valutazione progettuale;"";"";""
38895;ERRORE AZIONE BONUS;"";"";""
38888;Verifica / estrazione ordini bloccati;"";"";""
38886;Ordini amministrato rimangono in Invio in Corso;6.69.2 e 6.70.1;"";6.71.0
38885;Errore polizza per Cliente nato in Svizzera;"";"";""
38882;Fasi di svecchiamento / pulizia file;"";"";""
38873;Posizioni professionali cointestate;"";"";6.89.0
38871;Forzature in prod polizze trasferite;"";"";""
38870;Modifica ricezione eseguiti (ROTEM) e supporto (segue #38420);6.67.3 e 6.69.2 e 6.69.4;"";6.71.0 e 6.72.0
38868;Adeguamenti report DCI - v.2 (rif #35632);6.69.2;"";6.71.0
38851;Associazione cliente-promotore;"";"";""
38847;"modifica modulo ""Servizio MITO(Multichannel Internet Trading Online) Attivazione - Modifica - Conferimento Delega Virtuale - Gestione Documentazione On Line""";"";"";6.73.0
38845;Supporto per AzzoAglio e documentazioni-appunti;"";"";""
38840; Modifica processo FEA Twill;"";"";""
38832;BRAGA GIUSEPPE - Consiglio 474982 - Prima Sottoscrizione Polizza AZIONE BONUS (Italiana Assicurazioni);"";"";""
38831;"GP in stato ""da autorizzare""";"";"";""
38824;Produzione fascicoli di contratto periodici;"";"";6.85.0
38819;PROD | Errata associazione ISIN IT0005620908 ;"";"";""
38814;PROD | Incongruenza peso % polizze;"";"";""
38813;PROD | Clienti non associati al CF MANCINI STEFANO;"";"";""
38805;Fase Roseg in errore in produzione;"";"";""
38773;CC affidato censito come ORD;"";"";""
38769;Errore in carico mifid realtime su persone giuridiche (es 002672681);"";"";""
38768;PROD | Errore aggiornamento MiFID per CL 002672681;6.70.1;"";6.71.0
38764;Adeguamenti report DCI (rif #35632);6.69.1;"";6.71.0
38721;Nuovi cassetti GP da censire;"";"";""
38718;PROD | DUPLICAZIONE MOVIMENTI DI CARICO SU POLIZZA ARCA VITA;"";"";""
38717;Agg.to Rebate nuovi fondi Arca;"";"";""
38696;Verifica - riattivazione invio documenti a Viacart;"";"";""
38684;PROD | Variazioni rilevanti AUM;"";"";""
38683;ERRORE CARICAMENTO FLUSSO TGPRND;"";"";""
38678; Tuning sul batch per la produzione del flusso per Italiana;6.72.1;"";6.73.0
38673;Forzatura commissioni di negoziazione amministrato;"";"";""
38668;Commissioni di negoziazione TENARIS;"";"";""
38664;Errore su download KID;"";"";""
38661;Rimozione funzione di scheda cliente contratto da ACM (deve essere common);"";"";NEXT
38615;Forzatura ragione sociale Ditta Individuale per Polizza;"";"";""
38613;PROD | Indicazione tutor;"";"";""
38611;PROD | Firma grafometrica Consulente non richiesta;"";"";""
38610;PROD | Mancata visualizzazione polizza trasferita a t+1;"";"";""
38605;"PROD | Errore tecnico ""Anagrafica Contraente non trovata in tabella""";"";"";""
38604;Forzatura commissioni di negoziazione amministrato;"";"";""
38603;Errore su documento di sottoscrizione fondo - raccomandazione odierna;"";"";""
38598;PROD | Rimozione riferimenti Consulente nella reportistica Polizze (segue da #38198);"";"";""
38596;PROD | Presenza di un dossier GP ma assente il relativo dettaglio;"";"";""
38595;"PROD | Alert su posizioni singole in cui è stato ""eliminato"" il cc COI";6.71.2;"";6.72.0
38594;PROD | CC non visibile nella posizione cointestata;"";"";""
38593;PROD | Conto Corrente COI ancora valorizzato nella scheda contratto della posizione singola;6.70.2 e 6.71.1;"";6.72.0
38592;Verifica TM2 per GP;"";"";""
38583;Firma Grafometrica parziale;"";"";""
38581;Raccomandazione con cent aggiuntivi rispetto all'importo inserito;"";"";""
38579;Download di documenti firmati da altri clienti;"";"";6.69.0
38578;verifica accesso alla posizione del cliente da twill clienti;6.67.2;"";6.71.0
38577;Raccomandazione non coerente nonostante semafori verdi;"";"";""
38574;Numero di polizza non corrispondente al Contratto;"";"";6.70.0
38573;Agg.to tabella commissioni di negoziazione;"";"";""
38571;Agg.to moduli ITALIANA;"";"";""
38567;1648170 - FEA TWILL uguale a quella di  BRIO (switch da IdSign a Namirial);"";"";""
38566;1636552 - Consulenza Evoluta per Professionali-;"";"";""
38565;1636896 - Passaggio ordini a sala DCI Per GP e Amministrati su mercato obbligazionario;"";"";""
38564;1627032 - Verifica scarto e sblocco rapporti a garanzia;"";"";""
38563;Estrazione con query per utilizzo Adaptation;"";"";""
38562;Acquisizione e popolamento dati anagrafica polizze da flusso giornaliero;"";"";6.85.0
38551;Forzatura commissioni di negoziazione amministrato;"";"";""
38514;Cliente con nuovo dossier censito, non visibile a t+1;"";"";""
38506;Aggiornamento TGVPIN con comparti Arca;"";"";""
38504;Supporto polizze Nobis;"";"";""
38497;MODIFICA POZRI;6.67.2;"";6.69.0
38496;MultiThread a 20 (ex 15);"";"";""
38495;Verifica/Gestione CC collegati su più dossier e a parità di intestazione;"";"";""
38490;Carico nuova matrice commissioni negoziazione (PFFTMCN);"";"";""
38478;Rimozione legame CC su Dossier in presenza di differente intestazione;"";"";6.68.0
38477;Estrazione dossier vs cc per verifica differenza contraenza;"";"";""
38470;(segue da #38332) -> esecuzione giornaliera fase recupero anagrafiche polizze;"";"";6.85.0
38466;"PROD | Sottoscrizione GP resta in stato ""Da completare""";"";"";""
38465;PROD | Titolo XS2814486093 - Assenza rischio liquidità;"";"";""
38463;impossibilità a sottoscrivere il nuovo eltif 2 con FEA;"";"";""
38430;PFFTMCN - Configurazione STED+ e aggiornamenti una tantum;"";"";""
38420;Modifica ricezione eseguiti (ROTEM) e supporto;6.67.2;"";6.68.0
38414;ERRORE SEGNALAZIONE NON COERENZA PER HP;6.67.2;"";6.68.0
38408;Nuovo processo di controllo / verifica pre Pubblicazione Dati;"";"";6.68.0
38407;POULI - mancato aggiornamento campo RTEIMP in TPOCNT;6.72.1;"";6.73.0
38406;ORDINI GESTITI NON SI AGGIORNA STAO NONOSTANTE XML OK;6.67.2;"";6.68.0
38404;"Soglia ptf 30% Eltif 2.0 non deve generare la ""presa visione"" (rif #37607)";6.67.1;"";6.68.0
38403;PROD | ISIN XS2814486093 non compare tra le obbligazioni da acquistare;"";"";""
38402;"PROD | Conto valorizzato in dare e sezione ""Affidamenti"" non alimentata";"";"";""
38400;Pubblicazione dati dalle ore 07:00;"";"";""
38399;File polizze output Twill vs Cabel;"";"";6.68.0
38371;Attività di manutenzione URGENTE su DB Framework Twill;"";"";""
38368;Installazione UAT e PROD 6.66.0;"";"";""
38367;Acquisizione eseguiti - ROTEM - Assistenza;"";"";""
38353;Firma Grafometrica - segnalazioni di mancate firme;"";"";6.68.0
38352;Alert su contratto per CC assegnati a più dossier;"";"";6.66.0
38349;PROD | Gestione Polizze per Persone Giuridiche (ex Campo P. Iva non compilabile);"";"";6.72.0
38348;PROD | Gestione conti associati a più dossier;"";"";""
38339;PROD | Nuove GP da censire e HP da modificare;"";"";""
38338;PROD | Acquisto BTP - Costo di intermediazione assente;"";"";""
38333;"PROD | Versamento aggiuntivo polizza - Errore tecnico ""Tipo Documento ATN non definito""";"";"";""
38332;"PROD | Errore tecnico ""Anagrafica Contraente per Polizza 61010 non trovata in tabella TPOCNA""";"";"";""
38330;PROD | Aggiornamento Mifid non correttamente ribaltato sul rischio;"";"";6.65.0
38329;PROD | Holding Period non adeguato con orizzonte temporale di lungo periodo;"";"";6.65.0
38328;"PROD | Clienti ""orfani"" di Consulente";"";"";""
38310;LOGICA PER ALIMENTARE LA TABELLA TCGSLG;"";"";""
38298;TCLRAP parziale fornita da Cabel;"";"";""
38292;PROD | TWILL OFFICE: abilitazione ad autorizzare sottoscrizioni GPM con importo inferiore al limite ;"";"";""
38290;ERRORE APERTURA CONTRATTO GT;"";"";1.4.0
38287;PROD | Caricamento Eccezioni Anagrafiche ESG;"";"";""
38282;TABELLA PBCTP001.dbo.TCGSLG;"";"";""
38279;PROD | Problematiche su società di tipo STU;"";"";""
38276;PROD | Acquisto BTP bloccato per HP inferiore a 5 anni (RIPROFILATURA OPPORTUNISTICA);6.64.1;"";6.65.0
38274;Polizze non visibili se agganciate a CC affidati;6.64.1;"";6.65.0
38272;PROD | Errore aggiornamento MiFID;6.64.1;"";6.65.0
38271;PROD | Mancata visualizzazione ordinante per società S.N.C.;"";"";""
38269;PROD | Problematica GREEN BOND;"";"";""
38265;Inserimento collegamenti mancanti da Cabel per cointestatari;6.64.1;"";6.65.0
38258;GP non appropriate;"";"";""
38257;PROD | Segnalazioni anomalie su perdite di ptf;"";"";""
38252;PROD - Errore integrazione ViaCart;6.64.1;"";6.65.0
38251;PROD | Verifica ritardo ritorno flusso eseguiti;"";"";""
38250;PROD | Errore firma grafometrica su modulo d'ordine per riscatto polizza;"";"";""
38249;PROD | Polizze non visibili;"";"";""
38248;PROD | GPM non visibile;"";"";""
38247;PROD | Problema firma grafometrica;6.64.1;"";6.65.0
38245;PROD | Limite Holding Period;"";"";6.64.0
38244;Registrazione dati controllo appropriatezza/adeguatezza e fascicolo di consiglio (segue da #38104);"";"";""
38235;PROD | Errore costi-benefici;"";"";6.64.0
38234;PROD | Reportistica: Descrizione buono deposito e dossier a 0 inesistente (segue da #37856);"";"";""
38215;PROD | Errore su confronto fondi target;"";"";6.63.0
38211;PROD | Anomalia bond Cambiano: Selezionati in WL risultano Negoziabili in piattaforma;"";"";""
38210;PROD | Riscatto polizza - Errore caricamento documenti;"";"";6.63.0
38206;PROD | Sottoscrizione polizza Italiana - Servizi Decumulo e Cedola;"";"";""
38198;PROD | Rimozione riferimenti Consulente nella reportistica;"";"";6.65.0
38197;"PROD | Errore ""Destinatario mail non definito""";"";"";""
38196;PROD | Anomalia su HP posizione cointestata;"";"";""
38182;PROD | Fondi: errore sui costi;"";"";""
38180;PROD | Cedole titoli Cambiano;"";"";""
38179;PROD | Errore in fase di accettazione proposta;"";"";""
38175;PROD | Gestione campo totale PAC;"";"";""
38172;Precarico una tantum dati aggiuntivi anagrafiche (POULI);"";"";6.62.0
38167;Azione Bonus - Welcome bonus;"";"";""
38144;TWILL TEST errore fase batch - PL - Raccolta Ordini - Monitoraggio Portafoglio;"";"";""
38139;Popolamento incentivi (TGVPIN) per Gestito/Cassetti GP/Contenitori Polizze;"";"";6.62.0
38138;PROD |  Modifica descrizioni Holding Period;"";"";6.62.0
38121;PROD | Rischio mercato GPM PRUD;"";"";6.61.0
38120;PROD | Assenza conti in valuta;"";"";6.61.0
38118;PROD | Inserimento dati PAC;"";"";6.62.0
38113;Configurazione FEA Namirial;"";"";""
38105;"PROD | Errore ""Dossier Appoggio C/C (TDSANA) non trovato o non attivo alla data odierna""";"";"";""
38104;PROD | Sottoscrizione GP inappropriata;"";"";6.64.0
38052;Supporto fasi bloccate;"";"";""
38051;"PROD | Rimozione riferimento ""Flexible Solution"" sui report";"";"";""
38031;Sottoscrizione Eltif (2.0) - fase 2 (DA #37607);"";"";""
38030;Archiviazione classe documentale;"";"";""
38025;Mancata esposizione minus su stampa posizione consulenza;6.82.1;"";6.83.0
